   No           lonR           latR             dR        D0    strike       dip      rake   strike2      dip2     rake2         x         y flag
  127     179.870377     -37.254292      12.000000     0.283   355.172    90.000     0.000   265.172    90.000   180.000    -25.00     60.00    0
  128     179.851135     -37.296638      12.000000     0.561   353.343    90.000     0.000   263.344    90.000   180.000    -20.00     60.00    0
  129     179.831894     -37.338982      12.000000     0.782   353.697    90.000     0.000   263.697    90.000   180.000    -15.00     60.00    0
  130     179.812607     -37.381321      12.000000     0.941   355.090    90.000     0.000   265.090    90.000   180.000    -10.00     60.00    0
  131     179.793320     -37.423660      12.000000     1.058   356.259    90.000     0.000   266.259    90.000   180.000     -5.00     60.00    0
  132     179.774002     -37.466000      12.000000     1.132   357.398    90.000     0.000   267.398    90.000   180.000      0.00     60.00    0
  133     179.754654     -37.508331      12.000000     1.166   358.252    90.000     0.000   268.252    90.000   180.000      5.00     60.00    0
  134     179.735306     -37.550659      12.000000     1.155   359.362    90.000     0.000   269.362    90.000   180.000     10.00     60.00    0
  135     179.715912     -37.592991      12.000000     1.099   270.190    90.000   180.000     0.190    90.000     0.000     15.00     60.00    1
  136     179.696503     -37.635311      12.000000     1.003   270.311    90.000   180.000     0.311    90.000     0.000     20.00     60.00    1
  137     179.677078     -37.677631      12.000000     0.854   270.121    90.000   180.000     0.121    90.000     0.000     25.00     60.00    1
  138     179.657623     -37.719940      12.000000     0.670   359.850    90.000     0.000   269.850    90.000   180.000     30.00     60.00    0
  139     179.638153     -37.762249      12.000000     0.442   358.884    90.000     0.000   268.884    90.000   180.000     35.00     60.00    0
  140     179.618668     -37.804562      12.000000     0.209   358.848    90.000     0.000   268.848    90.000   180.000     40.00     60.00    0
